name;id;name_1;question_id;ordering;answer_key
5º Simulado SAS Enem 2021 - 3ª série;122950;Dia 1;54C3ACD2-8B16-41D3-A3DE-18CCECA88C47;39;D
5º Simulado SAS Enem 2021 - 3ª série;122950;Dia 1;243B3916-B332-482A-B295-E5C886D76214;40;C
5º Simulado SAS Enem 2021 - 3ª série;122950;Dia 1;5ACE8452-72D4-4887-BD8B-E5C3C820F470;41;A
5º Simulado SAS Enem 2021 - 3ª série;122950;Dia 1;9CABFA96-0B6E-4F65-9C2E-0D70FE506151;42;B
5º Simulado SAS Enem 2021 - 3ª série;122950;Dia 1;94ED82D2-D254-4816-BCD6-2BA840B40AF4;43;C
5º Simulado SAS Enem 2021 - 3ª série;122950;Dia 1;C346270B-ACC5-4166-9FC3-3103BA6B265E;44;D
5º Simulado SAS Enem 2021 - 3ª série;122950;Dia 1;71AB4A9A-9E75-414F-BC77-BD4EA0D8CE17;45;B
5º Simulado SAS Enem 2021 - 3ª série;122950;Dia 1;40508144-84D8-4B4B-A06A-F2F4F057D6C5;46;B
5º Simulado SAS Enem 2021 - 3ª série;122950;Dia 1;E161E119-E70F-4C79-A626-BE69C7B53D60;47;D
5º Simulado SAS Enem 2021 - 3ª série;122950;Dia 1;42B565D2-5B13-46F1-97F6-EF8E3C94E98E;48;B
5º Simulado SAS Enem 2021 - 3ª série;122950;Dia 1;89D45C91-592E-4AF5-83DC-699A1C7397C2;49;C
5º Simulado SAS Enem 2021 - 3ª série;122950;Dia 1;0F0AF014-B1AA-4247-B0A9-6FAA22F0A134;50;B
5º Simulado SAS Enem 2021 - 3ª série;122950;Dia 1;837F3FF4-256F-4F47-80A1-97B90155DB2D;51;E
5º Simulado SAS Enem 2021 - 3ª série;122950;Dia 1;FA890C9A-B9A5-4FC3-8203-8E38A2614980;52;D
5º Simulado SAS Enem 2021 - 3ª série;122950;Dia 1;55B47F41-215B-4239-BECA-16C9066E1C5F;53;A
5º Simulado SAS Enem 2021 - 3ª série;122950;Dia 1;9F125A47-6A53-4E30-A2C2-C305856CFD3D;54;D
5º Simulado SAS Enem 2021 - 3ª série;122950;Dia 1;076E6798-A56B-4AD8-BA99-2B31780D87CE;55;A
5º Simulado SAS Enem 2021 - 3ª série;122950;Dia 1;4BCEE5E8-BDB8-4464-8846-EE8D436240A2;56;C
5º Simulado SAS Enem 2021 - 3ª série;122950;Dia 1;95F9C14E-F2AA-4FE4-BF8A-82F018952260;57;B
5º Simulado SAS Enem 2021 - 3ª série;122950;Dia 1;9276262F-68EA-4A24-8557-C50498ADEF87;58;E
5º Simulado SAS Enem 2021 - 3ª série;122950;Dia 1;D09B7026-D368-4F94-A019-122421D38E8F;59;E
5º Simulado SAS Enem 2021 - 3ª série;122950;Dia 1;06EACE79-48D3-4603-998E-B6656782C589;60;D
5º Simulado SAS Enem 2021 - 3ª série;122950;Dia 1;A3C1E606-B88A-4469-85B3-1F53647A7E91;61;E
5º Simulado SAS Enem 2021 - 3ª série;122950;Dia 1;E10D6FD2-0856-4081-8D1D-365AE1ADFAF1;62;A
5º Simulado SAS Enem 2021 - 3ª série;122950;Dia 1;9885CBD1-8945-4624-9FA2-0AAF787FA79C;63;C
5º Simulado SAS Enem 2021 - 3ª série;122950;Dia 1;204E1AC0-675D-4048-8DC4-693DC2892EC1;64;A
5º Simulado SAS Enem 2021 - 3ª série;122950;Dia 1;15C6BB26-09F2-443E-B75A-57E3A691D05C;65;B
5º Simulado SAS Enem 2021 - 3ª série;122950;Dia 1;CF10B6A2-6377-433C-B21E-9CE692E245E4;66;D
5º Simulado SAS Enem 2021 - 3ª série;122950;Dia 1;A76776D8-3919-4914-BBCA-7AE82B7133B1;67;D
5º Simulado SAS Enem 2021 - 3ª série;122950;Dia 1;418C1341-5372-484A-8CC7-2BA37D09DEBA;68;A
5º Simulado SAS Enem 2021 - 3ª série;122950;Dia 1;0EF93326-BE3F-4C8F-8E27-58923F6B1EC1;69;C
5º Simulado SAS Enem 2021 - 3ª série;122950;Dia 1;E5A1E28F-13E8-4F31-A1D7-56C58C4EB9D5;70;B
5º Simulado SAS Enem 2021 - 3ª série;122950;Dia 1;2BA765E5-04F3-462C-9010-5395E94DEEE2;71;B
5º Simulado SAS Enem 2021 - 3ª série;122950;Dia 1;4F9B1AD4-5C60-4A19-AC75-FCD955F3B1D3;72;E
5º Simulado SAS Enem 2021 - 3ª série;122950;Dia 1;B808D963-87AF-4B21-A64A-3C97CAE76F0E;73;B
5º Simulado SAS Enem 2021 - 3ª série;122950;Dia 1;932FFC4F-1937-4BBE-B3A1-D6C4E6E51779;74;C
5º Simulado SAS Enem 2021 - 3ª série;122950;Dia 1;3D6ED2F3-F139-4D46-BE1E-D365A777C2F8;75;A
5º Simulado SAS Enem 2021 - 3ª série;122950;Dia 1;20618A74-5BFC-47EA-92AC-50FC313839A1;76;B
5º Simulado SAS Enem 2021 - 3ª série;122950;Dia 1;96DE86D5-BEA7-427F-BAF2-D7306362F2E9;77;E
5º Simulado SAS Enem 2021 - 3ª série;122950;Dia 1;C772768C-4D39-4CBE-88BF-78068EA59E8F;78;C
5º Simulado SAS Enem 2021 - 3ª série;122950;Dia 1;16430AE0-4A39-49C7-B6EA-01A413CAF163;79;A
5º Simulado SAS Enem 2021 - 3ª série;122950;Dia 1;0ACCE150-EB9E-4607-815A-D6A9E0B89B95;80;A
5º Simulado SAS Enem 2021 - 3ª série;122950;Dia 1;B5E34BC2-E2A6-464D-896C-710BDE896BE4;81;B
5º Simulado SAS Enem 2021 - 3ª série;122950;Dia 1;9F16C0E6-56EA-4A81-A326-00788154F9FB;82;C
5º Simulado SAS Enem 2021 - 3ª série;122950;Dia 1;DA2B0215-AAA3-4247-9904-FA3510351FB9;83;E
5º Simulado SAS Enem 2021 - 3ª série;122950;Dia 1;0F406C7B-2D47-4677-9CBB-3DFF69142888;84;A
